"","Gram","Count"
"1","a","27509"
"2","aa","12"
"3","aal","0"
"4","aam","2"
"5","aardvark","0"
"6","aba","1"
"7","aback","6"
"8","abacus","0"
"9","abaft","0"
"10","abalone","0"
"11","abandon","10"
"12","abandoned","21"
"13","abandoner","0"
"14","abandonment","7"
"15","abas","0"
"16","abase","0"
"17","abased","0"
"18","abasement","0"
"19","abashed","0"
"20","abashedly","0"
"21","abate","1"
"22","abatement","0"
"23","abatis","0"
"24","abattoir","0"
"25","abb","0"
"26","abbacy","0"
"27","abbas","1"
"28","abbasi","0"
"29","abbess","0"
"30","abbey","8"
"31","abbot","1"
"32","abbreviate","0"
"33","abbreviation","3"
"34","abdicate","0"
"35","abdication","0"
"36","abdomen","2"
"37","abdominal","1"
"38","abduct","0"
"39","abduction","3"
"40","abductor","0"
"41","abeam","0"
"42","abecedarian","0"
"43","abed","0"
"44","abele","0"
"45","aberrant","0"
"46","aberrate","0"
"47","aberration","2"
"48","abet","0"
"49","abeyance","0"
"50","abeyant","0"
"51","abhor","2"
"52","abhorrence","0"
"53","abhorrent","1"
"54","abhorrently","0"
"55","abhorring","0"
"56","abide","3"
"57","abidi","0"
"58","abiding","5"
"59","abidingness","0"
"60","abigail","3"
"61","ability","100"
"62","abir","0"
"63","abject","6"
"64","abjection","7"
"65","abjectly","0"
"66","abjuration","1"
"67","abjure","0"
"68","ablation","0"
"69","ablaze","2"
"70","able","438"
"71","abler","0"
"72","ablow","0"
"73","ablution","0"
"74","ably","0"
"75","abnegation","1"
"76","abnormal","5"
"77","abnormality","0"
"78","abnormally","0"
"79","aboard","6"
"80","abode","3"
"81","abolish","1"
"82","abolishment","0"
"83","abolition","1"
"84","abolitionism","2"
"85","abolitionist","0"
"86","abominable","0"
"87","abominably","0"
"88","abomination","3"
"89","aboon","0"
"90","abord","0"
"91","aboriginal","4"
"92","aborigine","0"
"93","abort","0"
"94","aborted","0"
"95","abortionist","0"
"96","abortive","1"
"97","abound","5"
"98","abounding","1"
"99","about","3490"
"100","abouts","0"
"101","above","265"
"102","aboveboard","0"
"103","aboveground","0"
"104","abracadabra","0"
"105","abrade","0"
"106","abrasax","0"
"107","abrasion","0"
"108","abrasive","4"
"109","abraxas","0"
"110","abreast","0"
"111","abridge","0"
"112","abridged","1"
"113","abrim","0"
"114","abroad","17"
"115","abrogate","0"
"116","abrogation","4"
"117","abrupt","2"
"118","abruption","0"
"119","abruptly","3"
"120","abruptness","0"
"121","abscess","0"
"122","abscessed","0"
"123","abscond","0"
"124","absconded","1"
"125","absence","27"
"126","absent","17"
"127","absentee","0"
"128","absenteeism","1"
"129","absently","0"
"130","absentmindedly","1"
"131","absinthe","2"
"132","absinthine","0"
"133","absolute","29"
"134","absolutely","129"
"135","absoluteness","0"
"136","absolution","1"
"137","absolutism","0"
"138","absolutist","0"
"139","absolve","1"
"140","absolver","0"
"141","absorb","9"
"142","absorbable","0"
"143","absorbed","16"
"144","absorbency","0"
"145","absorbent","0"
"146","absorber","0"
"147","absorbing","5"
"148","absorption","4"
"149","absorptive","0"
"150","abstain","0"
"151","abstainer","1"
"152","abstemious","1"
"153","abstention","0"
"154","abstinence","3"
"155","abstinent","0"
"156","abstract","11"
"157","abstracted","0"
"158","abstractedly","0"
"159","abstraction","1"
"160","abstractionism","0"
"161","abstractly","0"
"162","abstractness","0"
"163","abstruse","0"
"164","absurd","5"
"165","absurdity","3"
"166","absurdly","3"
"167","abu","3"
"168","abundance","15"
"169","abundant","17"
"170","abundantly","3"
"171","abuser","0"
"172","abusive","2"
"173","abusively","0"
"174","abut","0"
"175","abutment","0"
"176","abutting","2"
"177","abuzz","0"
"178","abysmal","1"
"179","abysmally","0"
"180","abyss","5"
"181","abyssal","0"
"182","academe","0"
"183","academian","0"
"184","academic","30"
"185","academically","2"
"186","academician","0"
"187","academy","17"
"188","acanthus","0"
"189","acapulco","0"
"190","acca","0"
"191","accede","0"
"192","accelerant","0"
"193","accelerate","6"
"194","accelerated","4"
"195","acceleration","1"
"196","accelerator","3"
"197","accelerometer","0"
"198","accent","7"
"199","accentor","0"
"200","accentuate","0"
"201","accentuation","0"
"202","accept","80"
"203","acceptability","0"
"204","acceptable","25"
"205","acceptably","0"
"206","acceptance","25"
"207","acceptation","0"
"208","accepted","56"
"209","acceptor","0"
"210","access","87"
"211","accessibility","3"
"212","accessible","10"
"213","accession","0"
"214","accessory","3"
"215","accident","34"
"216","accidental","3"
"217","accidentally","19"
"218","accidently","4"
"219","acclaim","2"
"220","acclamation","1"
"221","acclimate","0"
"222","acclimation","1"
"223","acclimatize","0"
"224","accolade","0"
"225","accommodate","10"
"226","accommodating","2"
"227","accommodation","7"
"228","accommodative","0"
"229","accompaniment","2"
"230","accompanist","0"
"231","accompany","10"
"232","accomplice","1"
"233","accomplish","18"
"234","accomplishable","0"
"235","accomplished","22"
"236","accomplishment","9"
"237","accord","5"
"238","accordance","7"
"239","accordant","0"
"240","according","161"
"241","accordingly","11"
"242","accordion","1"
"243","accordionist","0"
"244","accost","0"
"245","accosted","1"
"246","accouchement","0"
"247","account","89"
"248","accountability","6"
"249","accountable","10"
"250","accountancy","0"
"251","accountant","6"
"252","accounting","5"
"253","accredit","1"
"254","accreditation","1"
"255","accredited","2"
"256","accrete","0"
"257","accretion","0"
"258","accrual","0"
"259","accrue","0"
"260","acculturate","0"
"261","acculturation","1"
"262","accumulable","0"
"263","accumulate","1"
"264","accumulation","3"
"265","accumulative","0"
"266","accumulator","0"
"267","accuracy","11"
"268","accurate","22"
"269","accurately","10"
"270","accursed","0"
"271","accusable","0"
"272","accusation","2"
"273","accusative","2"
"274","accusatory","1"
"275","accuse","5"
"276","accused","24"
"277","accuser","0"
"278","accusingly","0"
"279","accustom","0"
"280","accustomed","10"
"281","ace","8"
"282","acerbic","0"
"283","acerbity","0"
"284","acerose","0"
"285","acetaldehyde","0"
"286","acetate","2"
"287","acetic","0"
"288","acetone","0"
"289","acetyl","0"
"290","acetylene","0"
"291","ach","1"
"292","achar","0"
"293","ache","8"
"294","achievable","0"
"295","achieve","49"
"296","achievement","20"
"297","achiever","1"
"298","aching","5"
"299","achingly","2"
"300","achromatic","0"
"301","achy","2"
"302","acicular","0"
"303","aciculate","0"
"304","acid","21"
"305","acidic","1"
"306","acidification","0"
"307","acidifier","0"
"308","acidify","0"
"309","acidity","3"
"310","acidly","0"
"311","acidosis","1"
"312","acker","1"
"313","acknowledge","29"
"314","acknowledged","13"
"315","acme","2"
"316","acne","1"
"317","acolyte","0"
"318","acoma","0"
"319","aconite","0"
"320","acorn","1"
"321","acousmatic","0"
"322","acoustic","8"
"323","acoustical","0"
"324","acoustically","0"
"325","acoustics","1"
"326","acquaint","0"
"327","acquaintance","4"
"328","acquainted","5"
"329","acquiesce","1"
"330","acquiescence","1"
"331","acquiescent","0"
"332","acquire","10"
"333","acquired","12"
"334","acquirer","1"
"335","acquisition","7"
"336","acquisitive","1"
"337","acquisitively","0"
"338","acquisitiveness","0"
"339","acquit","0"
"340","acquittal","0"
"341","acre","3"
"342","acreage","1"
"343","acrid","0"
"344","acridity","0"
"345","acridly","0"
"346","acrimonious","0"
"347","acrimony","1"
"348","acroamatic","0"
"349","acrobat","0"
"350","acrobatic","0"
"351","acrobatically","0"
"352","acrobatics","0"
"353","acromioclavicular","0"
"354","acromion","0"
"355","acronym","4"
"356","acronymous","0"
"357","acrophobia","1"
"358","acropolis","0"
"359","acrosome","0"
"360","across","251"
"361","acrostic","0"
"362","acryl","1"
"363","acrylic","10"
"364","acrylonitrile","0"
"365","act","169"
"366","acta","1"
"367","actin","0"
"368","acting","49"
"369","action","162"
"370","actionable","3"
"371","actioner","0"
"372","activate","1"
"373","activation","2"
"374","activator","0"
"375","active","54"
"376","actively","25"
"377","activism","7"
"378","activist","10"
"379","activity","55"
"380","acton","1"
"381","actor","29"
"382","actress","15"
"383","actual","85"
"384","actualist","0"
"385","actuality","7"
"386","actualization","1"
"387","actualize","1"
"388","actually","553"
"389","actuarial","0"
"390","actuary","0"
"391","actuator","0"
"392","acuity","1"
"393","acumen","2"
"394","acupressure","0"
"395","acupuncture","2"
"396","acute","9"
"397","acutely","1"
"398","ad","51"
"399","adad","0"
"400","adage","1"
"401","adagio","1"
"402","adamant","5"
"403","adamantine","0"
"404","adamite","0"
"405","adapt","10"
"406","adaptability","0"
"407","adaptable","2"
"408","adaptation","5"
"409","adapter","0"
"410","adaption","0"
"411","adaptive","1"
"412","adaptively","0"
"413","adaptor","0"
"414","aday","0"
"415","add","381"
"416","adda","0"
"417","addax","0"
"418","added","206"
"419","addenda","0"
"420","addendum","5"
"421","adder","1"
"422","addicted","15"
"423","addiction","20"
"424","addition","111"
"425","additional","62"
"426","additionally","10"
"427","additive","1"
"428","addle","0"
"429","addlepated","0"
"430","address","83"
"431","addressee","0"
"432","adduce","0"
"433","adduction","0"
"434","adductor","1"
"435","ade","2"
"436","adenine","0"
"437","adenocarcinoma","0"
"438","adenoid","0"
"439","adenoidal","0"
"440","adenosine","0"
"441","adept","6"
"442","adeptness","2"
"443","adequacy","0"
"444","adequate","8"
"445","adequately","3"
"446","adharma","0"
"447","adhere","5"
"448","adherence","1"
"449","adherent","0"
"450","adhesion","0"
"451","adhesive","7"
"452","adhesiveness","0"
"453","adieu","2"
"454","adieux","0"
"455","adipose","0"
"456","adit","2"
"457","adjacency","0"
"458","adjacent","3"
"459","adjacently","0"
"460","adjectival","0"
"461","adjective","2"
"462","adjoin","0"
"463","adjoined","0"
"464","adjoining","3"
"465","adjourn","0"
"466","adjournment","0"
"467","adjudge","0"
"468","adjudicate","1"
"469","adjudication","1"
"470","adjudicative","0"
"471","adjudicator","1"
"472","adjunct","1"
"473","adjust","15"
"474","adjustable","3"
"475","adjuster","0"
"476","adjustment","12"
"477","adjutant","0"
"478","adjuvant","0"
"479","admeasurement","0"
"480","admi","0"
"481","administer","6"
"482","administrate","0"
"483","administration","48"
"484","administrative","9"
"485","administratively","0"
"486","administrator","7"
"487","administratorship","0"
"488","admirability","0"
"489","admirable","3"
"490","admirably","1"
"491","admiral","5"
"492","admiralty","1"
"493","admiration","6"
"494","admire","15"
"495","admired","8"
"496","admirer","0"
"497","admiring","7"
"498","admiringly","0"
"499","admissibility","0"
"500","admissible","0"
"501","admission","13"
"502","admit","107"
"503","admittance","0"
"504","admitted","25"
"505","admittedly","16"
"506","admixture","0"
"507","admonish","3"
"508","admonishment","0"
"509","admonition","2"
"510","admonitory","0"
"511","ado","8"
"512","adobe","3"
"513","adolescence","3"
"514","adolescent","4"
"515","adolescently","0"
"516","adopt","14"
"517","adoptability","0"
"518","adoptable","1"
"519","adopted","28"
"520","adoptee","0"
"521","adopter","0"
"522","adoption","19"
"523","adoptionism","0"
"524","adoptive","5"
"525","adorability","0"
"526","adorable","39"
"527","adorableness","0"
"528","adorably","0"
"529","adoration","10"
"530","adore","21"
"531","adorer","0"
"532","adoringly","0"
"533","adorn","1"
"534","adornment","0"
"535","adrenal","1"
"536","adrenaline","8"
"537","adrenalize","0"
"538","adrift","1"
"539","adroit","0"
"540","adroitly","1"
"541","adroitness","0"
"542","adrop","0"
"543","adsorb","0"
"544","adsorption","0"
"545","adulate","0"
"546","adulation","0"
"547","adulatory","0"
"548","adulteration","0"
"549","adulterer","0"
"550","adulteress","0"
"551","adulterous","1"
"552","adultery","0"
"553","adulthood","9"
"554","adultness","0"
"555","adumbrate","0"
"556","adumbration","0"
"557","adust","0"
"558","advance","33"
"559","advanced","29"
"560","advancement","6"
"561","advancer","1"
"562","advancing","2"
"563","advantage","50"
"564","advantageous","3"
"565","advantageously","1"
"566","adventitious","3"
"567","adventure","61"
"568","adventurer","2"
"569","adventuresome","1"
"570","adventuress","0"
"571","adventurous","7"
"572","adventurousness","0"
"573","adverb","0"
"574","adverbial","0"
"575","adversary","1"
"576","adverse","8"
"577","adversely","1"
"578","adversity","0"
"579","advert","3"
"580","advertence","0"
"581","advertent","0"
"582","advertently","0"
"583","advertise","2"
"584","advertisement","6"
"585","advertiser","1"
"586","advertising","50"
"587","advice","69"
"588","advisability","0"
"589","advisable","0"
"590","advise","12"
"591","advised","10"
"592","advisedly","0"
"593","advisee","0"
"594","advisement","0"
"595","adviser","6"
"596","advisor","11"
"597","advisory","7"
"598","advocacy","3"
"599","advocate","13"
"600","advowson","0"
"601","ady","0"
"602","ae","0"
"603","aegis","1"
"604","aeolipile","0"
"605","aeon","0"
"606","aer","0"
"607","aerate","0"
"608","aeration","0"
"609","aerator","0"
"610","aerial","4"
"611","aerie","0"
"612","aero","8"
"613","aerobatic","0"
"614","aerobatics","0"
"615","aerobic","6"
"616","aerobically","0"
"617","aerodrome","0"
"618","aerodynamic","2"
"619","aerodynamics","0"
"620","aerofoil","0"
"621","aerogel","0"
"622","aeronaut","0"
"623","aeronautic","0"
"624","aeronautical","0"
"625","aeronautics","0"
"626","aeroplane","0"
"627","aerosol","2"
"628","aes","0"
"629","aesthete","0"
"630","aesthetic","8"
"631","aesthetically","1"
"632","aestheticism","0"
"633","aestheticize","0"
"634","aesthetics","5"
"635","afar","3"
"636","afeard","0"
"637","afeared","0"
"638","affability","0"
"639","affable","0"
"640","affair","34"
"641","affect","38"
"642","affectation","0"
"643","affected","18"
"644","affecting","8"
"645","affection","11"
"646","affectionally","0"
"647","affectionate","2"
"648","affectionately","0"
"649","affective","1"
"650","affectively","0"
"651","affiance","0"
"652","affiant","0"
"653","affidavit","3"
"654","affiliate","6"
"655","affiliation","3"
"656","affinity","6"
"657","affirm","5"
"658","affirmance","0"
"659","affirmation","0"
"660","affirmative","1"
"661","affirmatively","0"
"662","affirmatory","0"
"663","affix","0"
"664","affixation","0"
"665","afflict","0"
"666","afflicted","3"
"667","afflicting","0"
"668","affliction","4"
"669","affluence","0"
"670","affluent","3"
"671","afford","37"
"672","affordable","18"
"673","afforestation","1"
"674","affray","0"
"675","affright","0"
"676","affrighted","0"
"677","affront","3"
"678","affronted","0"
"679","affronting","0"
"680","affy","0"
"681","afghani","0"
"682","afield","0"
"683","afire","0"
"684","aflame","1"
"685","afloat","4"
"686","aflush","0"
"687","aflutter","1"
"688","afoot","1"
"689","afore","0"
"690","aforehand","0"
"691","aforesaid","0"
"692","aforethought","0"
"693","aforetime","0"
"694","afoul","1"
"695","afraid","69"
"696","afresh","1"
"697","aft","2"
"698","after","1485"
"699","afterbirth","0"
"700","afterburner","0"
"701","aftercare","0"
"702","aftereffect","0"
"703","afterglow","0"
"704","afterhours","0"
"705","afterimage","0"
"706","afterlife","3"
"707","aftermath","8"
"708","afternoon","84"
"709","afternoons","11"
"710","afterschool","3"
"711","aftershock","1"
"712","aftertaste","3"
"713","afterthought","1"
"714","afterward","10"
"715","afterwards","31"
"716","afterwork","1"
"717","afterworld","0"
"718","aga","3"
"719","again","792"
"720","against","369"
"721","agama","0"
"722","agape","1"
"723","agar","0"
"724","agaric","0"
"725","agarwal","0"
"726","agate","3"
"727","age","202"
"728","aged","43"
"729","agee","0"
"730","ageless","0"
"731","agelessness","0"
"732","agen","0"
"733","agency","32"
"734","agenda","31"
"735","agenesis","0"
"736","agent","59"
"737","ager","0"
"738","agger","0"
"739","agglomeration","0"
"740","agglutinate","0"
"741","aggrandizement","0"
"742","aggravate","0"
"743","aggravating","0"
"744","aggravation","1"
"745","aggravator","0"
"746","aggregate","0"
"747","aggregately","0"
"748","aggregation","0"
"749","aggregator","0"
"750","aggression","7"
"751","aggressive","21"
"752","aggressively","2"
"753","aggressiveness","2"
"754","aggressor","1"
"755","aggrieved","2"
"756","agha","0"
"757","aghast","0"
"758","aghastness","0"
"759","agile","3"
"760","agilely","0"
"761","agility","4"
"762","aging","15"
"763","agitate","0"
"764","agitation","2"
"765","agitative","0"
"766","agitator","0"
"767","agitprop","0"
"768","agley","0"
"769","aglow","0"
"770","agnate","0"
"771","agnostic","0"
"772","agnostically","0"
"773","agnosticism","0"
"774","agnus","0"
"775","ago","354"
"776","agog","0"
"777","agon","0"
"778","agone","0"
"779","agonist","0"
"780","agonistic","0"
"781","agonize","1"
"782","agonizingly","2"
"783","agony","6"
"784","agora","2"
"785","agoraphobia","0"
"786","agouti","0"
"787","agrammatism","0"
"788","agrarian","0"
"789","agree","58"
"790","agreeable","0"
"791","agreeableness","0"
"792","agreeably","1"
"793","agreed","54"
"794","agreeing","3"
"795","agreement","26"
"796","agricole","0"
"797","agricultural","14"
"798","agriculturalist","0"
"799","agriculturally","0"
"800","agriculture","16"
"801","agriculturist","0"
"802","agronomist","0"
