"","Gram","Count"
"1","a",904058
"2","aa",207
"3","aal",1
"4","aam",29
"5","aardvark",13
"6","aba",32
"7","aback",122
"8","abacus",25
"9","abaft",3
"10","abalone",15
"11","abandon",362
"12","abandoned",914
"13","abandoner",3
"14","abandonment",130
"15","abas",2
"16","abase",1
"17","abased",8
"18","abasement",6
"19","abashed",7
"20","abashedly",1
"21","abate",10
"22","abatement",15
"23","abatis",2
"24","abattoir",6
"25","abb",1
"26","abbacy",1
"27","abbas",52
"28","abbasi",1
"29","abbess",8
"30","abbey",288
"31","abbot",38
"32","abbreviate",11
"33","abbreviation",31
"34","abdicate",11
"35","abdication",11
"36","abdomen",85
"37","abdominal",79
"38","abduct",10
"39","abduction",84
"40","abductor",7
"41","abeam",1
"42","abecedarian",3
"43","abed",19
"44","abele",2
"45","aberrant",13
"46","aberrate",3
"47","aberration",31
"48","abet",7
"49","abeyance",5
"50","abeyant",4
"51","abhor",38
"52","abhorrence",13
"53","abhorrent",50
"54","abhorrently",2
"55","abhorring",1
"56","abide",187
"57","abidi",1
"58","abiding",141
"59","abidingness",1
"60","abigail",122
"61","ability",3432
"62","abir",1
"63","abject",64
"64","abjection",18
"65","abjectly",3
"66","abjuration",7
"67","abjure",5
"68","ablation",4
"69","ablaze",45
"70","able",14662
"71","abler",1
"72","ablow",1
"73","ablution",3
"74","ably",21
"75","abnegation",23
"76","abnormal",138
"77","abnormality",19
"78","abnormally",41
"79","aboard",279
"80","abode",138
"81","abolish",83
"82","abolishment",7
"83","abolition",65
"84","abolitionism",3
"85","abolitionist",22
"86","abominable",33
"87","abominably",7
"88","abomination",83
"89","aboon",1
"90","abord",1
"91","aboriginal",129
"92","aborigine",2
"93","abort",33
"94","aborted",58
"95","abortionist",4
"96","abortive",8
"97","abound",157
"98","abounding",56
"99","about",115376
"100","abouts",4
"101","above",8856
"102","aboveboard",5
"103","aboveground",3
"104","abracadabra",9
"105","abrade",1
"106","abrasax",2
"107","abrasion",10
"108","abrasive",40
"109","abraxas",1
"110","abreast",40
"111","abridge",4
"112","abridged",42
"113","abrim",1
"114","abroad",586
"115","abrogate",6
"116","abrogation",14
"117","abrupt",103
"118","abruption",2
"119","abruptly",142
"120","abruptness",2
"121","abscess",18
"122","abscessed",4
"123","abscond",4
"124","absconded",8
"125","absence",761
"126","absent",365
"127","absentee",22
"128","absenteeism",16
"129","absently",17
"130","absentmindedly",11
"131","absinthe",37
"132","absinthine",1
"133","absolute",1293
"134","absolutely",4015
"135","absoluteness",5
"136","absolution",51
"137","absolutism",9
"138","absolutist",7
"139","absolve",20
"140","absolver",1
"141","absorb",279
"142","absorbable",4
"143","absorbed",362
"144","absorbency",2
"145","absorbent",29
"146","absorber",16
"147","absorbing",144
"148","absorption",86
"149","absorptive",2
"150","abstain",45
"151","abstainer",5
"152","abstemious",6
"153","abstention",8
"154","abstinence",82
"155","abstinent",8
"156","abstract",483
"157","abstracted",10
"158","abstractedly",1
"159","abstraction",83
"160","abstractionism",1
"161","abstractly",11
"162","abstractness",2
"163","abstruse",15
"164","absurd",376
"165","absurdity",100
"166","absurdly",49
"167","abu",174
"168","abundance",484
"169","abundant",392
"170","abundantly",97
"171","abuser",76
"172","abusive",272
"173","abusively",1
"174","abut",12
"175","abutment",4
"176","abutting",12
"177","abuzz",24
"178","abysmal",44
"179","abysmally",6
"180","abyss",167
"181","abyssal",5
"182","academe",5
"183","academian",1
"184","academic",937
"185","academically",57
"186","academician",3
"187","academy",642
"188","acanthus",4
"189","acapulco",7
"190","acca",5
"191","accede",15
"192","accelerant",4
"193","accelerate",94
"194","accelerated",116
"195","acceleration",74
"196","accelerator",50
"197","accelerometer",2
"198","accent",629
"199","accentor",1
"200","accentuate",52
"201","accentuation",1
"202","accept",2597
"203","acceptability",11
"204","acceptable",781
"205","acceptably",4
"206","acceptance",658
"207","acceptation",2
"208","accepted",1718
"209","acceptor",1
"210","access",2679
"211","accessibility",108
"212","accessible",496
"213","accession",54
"214","accessory",154
"215","accident",1192
"216","accidental",182
"217","accidentally",499
"218","accidently",41
"219","acclaim",107
"220","acclamation",5
"221","acclimate",13
"222","acclimation",6
"223","acclimatize",4
"224","accolade",20
"225","accommodate",311
"226","accommodating",89
"227","accommodation",236
"228","accommodative",1
"229","accompaniment",107
"230","accompanist",8
"231","accompany",298
"232","accomplice",40
"233","accomplish",740
"234","accomplishable",1
"235","accomplished",822
"236","accomplishment",280
"237","accord",146
"238","accordance",213
"239","accordant",3
"240","according",5510
"241","accordingly",378
"242","accordion",70
"243","accordionist",3
"244","accost",3
"245","accosted",35
"246","accouchement",5
"247","account",2780
"248","accountability",285
"249","accountable",324
"250","accountancy",14
"251","accountant",131
"252","accounting",271
"253","accredit",2
"254","accreditation",35
"255","accredited",64
"256","accrete",1
"257","accretion",9
"258","accrual",4
"259","accrue",18
"260","acculturate",1
"261","acculturation",4
"262","accumulable",1
"263","accumulate",110
"264","accumulation",99
"265","accumulative",1
"266","accumulator",5
"267","accuracy",323
"268","accurate",903
"269","accurately",352
"270","accursed",24
"271","accusable",1
"272","accusation",105
"273","accusative",4
"274","accusatory",12
"275","accuse",155
"276","accused",853
"277","accuser",54
"278","accusingly",4
"279","accustom",6
"280","accustomed",289
"281","ace",283
"282","acerbic",13
"283","acerbity",1
"284","acerose",1
"285","acetaldehyde",2
"286","acetate",70
"287","acetic",16
"288","acetone",10
"289","acetyl",2
"290","acetylene",3
"291","ach",13
"292","achar",3
"293","ache",260
"294","achievable",66
"295","achieve",1641
"296","achievement",487
"297","achiever",23
"298","aching",207
"299","achingly",26
"300","achromatic",1
"301","achy",44
"302","acicular",1
"303","aciculate",1
"304","acid",630
"305","acidic",100
"306","acidification",6
"307","acidifier",2
"308","acidify",1
"309","acidity",117
"310","acidly",3
"311","acidosis",9
"312","acker",15
"313","acknowledge",686
"314","acknowledged",363
"315","acme",25
"316","acne",201
"317","acolyte",14
"318","acoma",1
"319","aconite",1
"320","acorn",70
"321","acousmatic",1
"322","acoustic",261
"323","acoustical",4
"324","acoustically",9
"325","acoustics",14
"326","acquaint",21
"327","acquaintance",164
"328","acquainted",151
"329","acquiesce",24
"330","acquiescence",24
"331","acquiescent",6
"332","acquire",342
"333","acquired",577
"334","acquirer",9
"335","acquisition",272
"336","acquisitive",6
"337","acquisitively",1
"338","acquisitiveness",1
"339","acquit",6
"340","acquittal",16
"341","acre",187
"342","acreage",49
"343","acrid",20
"344","acridity",1
"345","acridly",1
"346","acrimonious",8
"347","acrimony",13
"348","acroamatic",1
"349","acrobat",32
"350","acrobatic",21
"351","acrobatically",1
"352","acrobatics",26
"353","acromioclavicular",1
"354","acromion",1
"355","acronym",60
"356","acronymous",1
"357","acrophobia",1
"358","acropolis",15
"359","acrosome",1
"360","across",8343
"361","acrostic",7
"362","acryl",1
"363","acrylic",318
"364","acrylonitrile",1
"365","act",5513
"366","acta",24
"367","actin",5
"368","acting",1684
"369","action",5322
"370","actionable",26
"371","actioner",6
"372","activate",99
"373","activation",68
"374","activator",4
"375","active",1720
