"value","count","cumsum","pct"
"just",305401,305401,0.65
"said",305303,610704,1.3
"like",273848,884552,1.89
"get",227677,1112229,2.37
"time",225159,1337388,2.85
"new",195514,1532902,3.27
"good",180931,1713833,3.66
"day",178453,1892286,4.04
"don",166812,2059098,4.39
"know",164264,2223362,4.74
"people",162805,2386167,5.09
"love",162110,2548277,5.44
"year",147846,2696123,5.75
"go",142602,2838725,6.06
"make",131582,2970307,6.34
"going",127087,3097394,6.61
"think",126647,3224041,6.88
"last",125742,3349783,7.15
"great",124757,3474540,7.41
"today",119379,3593919,7.67
"really",114612,3708531,7.91
"way",113388,3821919,8.16
"got",108603,3930522,8.39
"want",107631,4038153,8.62
"work",106985,4145138,8.85
"right",104864,4250002,9.07
"did",104707,4354709,9.29
"thanks",99074,4453783,9.5
"need",97956,4551739,9.71
"years",93690,4645429,9.91
"life",93333,4738762,10.11
"say",87038,4825800,10.3
"take",86432,4912232,10.48
"made",84975,4997207,10.66
"come",84044,5081251,10.84
"home",83632,5164883,11.02
"little",83361,5248244,11.2
"week",81293,5329537,11.37
"best",80595,5410132,11.55
"night",79876,5490008,11.72
"school",76672,5566680,11.88
"game",75503,5642183,12.04
"state",74597,5716780,12.2
"things",74591,5791371,12.36
"let",70943,5862314,12.51
"world",70233,5932547,12.66
"long",69461,6002008,12.81
"happy",67433,6069441,12.95
"better",67293,6136734,13.1
"old",65384,6202118,13.24
"look",64765,6266883,13.37
"city",64543,6331426,13.51
"man",64337,6395763,13.65
"big",64155,6459918,13.79
"feel",58504,6518422,13.91
"follow",57425,6575847,14.03
"help",57106,6632953,14.15
"hope",56955,6689908,14.28
"sure",56759,6746667,14.4
"thing",56523,6803190,14.52
"use",55605,6858795,14.64
"find",55226,6914021,14.75
"team",54743,6968764,14.87
"own",54348,7023112,14.99
"days",53851,7076963,15.1
"getting",53842,7130805,15.22
"lot",53764,7184569,15.33
"tonight",53510,7238079,15.45
"high",53307,7291386,15.56
"family",53280,7344666,15.67
"house",53054,7397720,15.79
"keep",52972,7450692,15.9
"does",52382,7503074,16.01
"says",52323,7555397,16.12
"place",52168,7607565,16.23
"both",52001,7659566,16.35
"part",51424,7710990,16.46
"put",50610,7761600,16.56
"looking",50377,7811977,16.67
"give",49749,7861726,16.78
"end",49597,7911323,16.88
"play",49377,7960700,16.99
"thank",49369,8010069,17.09
"free",48997,8059066,17.2
"doing",48228,8107294,17.3
"book",47380,8154674,17.4
"th",47355,8202029,17.5
"away",47251,8249280,17.6
"season",46935,8296215,17.7
"morning",46752,8342967,17.8
"might",46419,8389386,17.9
