"value","count","cumsum","pct"
"looking forward seeing",827,827,0.15
"keep good work",567,1394,0.25
"just got home",496,1890,0.34
"let know think",468,2358,0.43
"check www com",467,2825,0.51
"st patrick day",441,3266,0.59
"let know need",419,3685,0.67
"dreams come true",417,4102,0.74
"just let know",409,4511,0.82
"www facebook com",399,4910,0.89
"just got done",381,5291,0.96
"happy birthday hope",377,5668,1.03
"happy th birthday",371,6039,1.1
"don feel like",368,6407,1.16
"hope feel better",362,6769,1.23
"visit www com",361,7130,1.29
"happy valentine day",356,7486,1.36
"cake cake cake",344,7830,1.42
"today good day",328,8158,1.48
"thanks kind words",313,8471,1.54
"dream come true",308,8779,1.59
"happy valentines day",302,9081,1.65
"good morning happy",298,9379,1.7
"keep great work",294,9673,1.76
"really looking forward",291,9964,1.81
"happy birthday love",284,10248,1.86
"sounds like great",284,10532,1.91
"let know help",280,10812,1.96
"good morning world",279,11091,2.01
"sounds like fun",277,11368,2.06
"thanks follow love",277,11645,2.11
"thanks following twitter",272,11917,2.16
"come say hi",263,12180,2.21
"thanks follow hope",259,12439,2.26
"looking forward meeting",258,12697,2.31
"think like man",256,12953,2.35
"makes feel like",252,13205,2.4
"sounds like good",249,13454,2.44
"wish happy birthday",249,13703,2.49
"don want go",247,13950,2.53
"new years eve",240,14190,2.58
"today last day",240,14430,2.62
"website www com",235,14665,2.66
"looking forward tweets",234,14899,2.71
"go www com",233,15132,2.75
"time last night",232,15364,2.79
"good morning twitter",231,15595,2.83
"looking forward hearing",231,15826,2.87
"good morning hope",228,16054,2.92
"make sure check",225,16279,2.96
"blah blah blah",223,16502,3
"great way start",223,16725,3.04
"make feel better",223,16948,3.08
"having great time",221,17169,3.12
"did great job",215,17384,3.16
"having great day",215,17599,3.2
"thanks new followers",215,17814,3.23
"thanks letting know",214,18028,3.27
"la la la",213,18241,3.31
"let know want",211,18452,3.35
"sounds like plan",209,18661,3.39
"just got new",207,18868,3.43
"looking forward great",203,19071,3.46
"happy st patrick",202,19273,3.5
"just watching tv",201,19474,3.54
"make sure get",201,19675,3.57
"new year eve",200,19875,3.61
"way start day",199,20074,3.65
"feel like going",193,20267,3.68
"good luck today",188,20455,3.71
"just make sure",187,20642,3.75
"looks like going",185,20827,3.78
"welcome new followers",182,21009,3.82
"get real rewards",178,21187,3.85
"make sure follow",178,21365,3.88
"really really really",178,21543,3.91
"thanks follow looking",178,21721,3.94
"go go go",175,21896,3.98
"really don want",175,22071,4.01
"work work work",175,22246,4.04
"today great day",171,22417,4.07
"hope good day",164,22581,4.1
"let know get",163,22744,4.13
"good luck tonight",162,22906,4.16
"makes feel better",162,23068,4.19
"looking forward reading",158,23226,4.22
"hey hey hey",156,23382,4.25
"hey just met",156,23538,4.27
"thank kind words",156,23694,4.3
"make feel like",153,23847,4.33
"don want get",152,23999,4.36
"good morning good",152,24151,4.39
"let know goes",152,24303,4.41
"don know going",150,24453,4.44
"looks like great",148,24601,4.47
"let just say",147,24748,4.49
"don forget follow",146,24894,4.52
"good morning beautiful",146,25040,4.55
"big time rush",145,25185,4.57
"feel like just",145,25330,4.6
"great day today",144,25474,4.63
