"","value","count","cumsum","pct"
"1","of the",499,499,0.68
"2","in the",425,924,1.27
"3","it s",229,1153,1.58
"4","to the",226,1379,1.89
"5","i m",202,1581,2.17
"6","on the",200,1781,2.44
"7","and the",194,1975,2.71
"8","to be",194,2169,2.97
"9","and i",187,2356,3.23
"10","for the",160,2516,3.45
"11","don t",155,2671,3.66
"12","with the",138,2809,3.85
"13","i have",132,2941,4.03
"14","the of",132,3073,4.21
"15","i am",131,3204,4.39
"16","in a",131,3335,4.57
"17","i was",128,3463,4.75
"18","it was",126,3589,4.92
"19","it is",122,3711,5.09
"20","that i",122,3833,5.26
"21","from the",121,3954,5.42
"22","at the",119,4073,5.59
"23","is a",112,4185,5.74
"24","but i",110,4295,5.89
"25","of a",105,4400,6.03
"26","that the",105,4505,6.18
"27","with a",98,4603,6.31
"28","if you",92,4695,6.44
"29","one of",89,4784,6.56
"30","i had",87,4871,6.68
"31","the and",83,4954,6.79
"32","this is",80,5034,6.9
"33","by the",79,5113,7.01
"34","for a",78,5191,7.12
"35","have a",77,5268,7.22
"36","so i",75,5343,7.33
"37","a lot",73,5416,7.43
"38","and a",73,5489,7.53
"39","can t",73,5562,7.63
"40","when i",73,5635,7.73
"41","as a",72,5707,7.83
"42","will be",72,5779,7.92
"43","going to",71,5850,8.02
"44","to get",71,5921,8.12
"45","have to",70,5991,8.22
"46","i can",70,6061,8.31
"47","a few",69,6130,8.41
"48","is the",68,6198,8.5
"49","you can",68,6266,8.59
"50","of my",67,6333,8.68
"51","want to",65,6398,8.77
"52","a little",64,6462,8.86
"53","was a",63,6525,8.95
"54","have been",61,6586,9.03
"55","i don",60,6646,9.11
"56","that s",60,6706,9.2
"57","the world",60,6766,9.28
"58","and it",59,6825,9.36
"59","as i",59,6884,9.44
"60","in my",59,6943,9.52
"61","out of",59,7002,9.6
"62","i t",58,7060,9.68
"63","that is",58,7118,9.76
"64","i think",57,7175,9.84
"65","there is",57,7232,9.92
"66","what i",56,7288,9.99
"67","you are",56,7344,10.07
"68","the same",55,7399,10.15
"69","to do",55,7454,10.22
"70","the first",53,7507,10.29
"71","to make",52,7559,10.37
"72","all the",51,7610,10.44
"73","need to",51,7661,10.51
"74","of and",51,7712,10.58
"75","on a",51,7763,10.65
"76","to have",51,7814,10.72
"77","be a",50,7864,10.78
"78","i would",50,7914,10.85
"79","into the",50,7964,10.92
"80","to a",49,8013,10.99
"81","we are",49,8062,11.06
"82","as the",48,8110,11.12
"83","but it",48,8158,11.19
"84","i know",48,8206,11.25
"85","they are",48,8254,11.32
"86","had a",47,8301,11.38
"87","s a",47,8348,11.45
"88","you re",47,8395,11.51
"89","lot of",46,8441,11.58
"90","to see",46,8487,11.64
"91","and then",45,8532,11.7
"92","can be",45,8577,11.76
"93","he s",45,8622,11.82
"94","would be",45,8667,11.89
"95","i d",44,8711,11.95
"96","i will",44,8755,12.01
"97","about the",42,8797,12.06
"98","all of",42,8839,12.12
"99","and we",42,8881,12.18
"100","i just",42,8923,12.24
"101","in this",42,8965,12.29
"102","is not",42,9007,12.35
"103","was the",42,9049,12.41
"104","and to",41,9090,12.47
"105","it t",41,9131,12.52
"106","over the",41,9172,12.58
"107","that was",41,9213,12.63
"108","the way",41,9254,12.69
"109","we have",41,9295,12.75
"110","a bit",40,9335,12.8
"111","as well",40,9375,12.86
"112","on my",40,9415,12.91
"113","part of",40,9455,12.97
"114","there are",40,9495,13.02
"115","he was",39,9534,13.07
"116","in and",39,9573,13.13
"117","is that",39,9612,13.18
"118","of this",39,9651,13.23
"119","that it",39,9690,13.29
"120","up to",39,9729,13.34
"121","i got",38,9767,13.39
"122","t have",38,9805,13.45
"123","that you",38,9843,13.5
"124","there s",38,9881,13.55
"125","and that",37,9918,13.6
"126","at least",37,9955,13.65
"127","for me",37,9992,13.7
"128","the new",37,10029,13.75
"129","a good",36,10065,13.8
"130","a new",36,10101,13.85
"131","i to",36,10137,13.9
"132","if i",36,10173,13.95
"133","she was",36,10209,14
"134","the best",36,10245,14.05
"135","a great",35,10280,14.1
"136","more than",35,10315,14.15
"137","s the",35,10350,14.19
"138","that he",35,10385,14.24
"139","the i",35,10420,14.29
"140","to me",35,10455,14.34
"141","trying to",35,10490,14.39
"142","able to",34,10524,14.43
"143","and in",34,10558,14.48
"144","had to",34,10592,14.52
"145","i really",34,10626,14.57
"146","of it",34,10660,14.62
"147","because i",33,10693,14.66
"148","i did",33,10726,14.71
"149","it to",33,10759,14.75
"150","like a",33,10792,14.8
"151","of course",33,10825,14.84
"152","the to",33,10858,14.89
"153","they were",33,10891,14.93
"154","when the",33,10924,14.98
"155","you have",33,10957,15.03
"156","i love",32,10989,15.07
"157","that they",32,11021,15.11
"158","the are",32,11053,15.16
"159","the in",32,11085,15.2
"160","the other",32,11117,15.24
"161","to go",32,11149,15.29
"162","of our",31,11180,15.33
"163","that we",31,11211,15.37
"164","the end",31,11242,15.42
"165","the time",31,11273,15.46
"166","you know",31,11304,15.5
"167","and and",30,11334,15.54
"168","as it",30,11364,15.58
"169","have the",30,11394,15.62
"170","how to",30,11424,15.67
"171","it i",30,11454,15.71
"172","it in",30,11484,15.75
"173","know that",30,11514,15.79
"174","me to",30,11544,15.83
"175","the most",30,11574,15.87
"176","and they",29,11603,15.91
"177","is to",29,11632,15.95
"178","it and",29,11661,15.99
"179","me and",29,11690,16.03
"180","of your",29,11719,16.07
"181","she s",29,11748,16.11
"182","to know",29,11777,16.15
"183","to say",29,11806,16.19
"184","and his",28,11834,16.23
"185","as we",28,11862,16.27
"186","be the",28,11890,16.3
"187","i could",28,11918,16.34
"188","i want",28,11946,16.38
"189","t know",28,11974,16.42
"190","those who",28,12002,16.46
"191","we were",28,12030,16.5
"192","which is",28,12058,16.54
"193","with my",28,12086,16.57
"194","a very",27,12113,16.61
"195","but the",27,12140,16.65
"196","i been",27,12167,16.68
"197","if it",27,12194,16.72
"198","like to",27,12221,16.76
"199","m not",27,12248,16.8
"200","of them",27,12275,16.83
"201","out the",27,12302,16.87
"202","so much",27,12329,16.91
"203","the last",27,12356,16.94
"204","to take",27,12383,16.98
"205","we can",27,12410,17.02
"206","would have",27,12437,17.05
"207","a couple",26,12463,17.09
"208","and my",26,12489,17.13
"209","my and",26,12515,17.16
"210","of that",26,12541,17.2
"211","such a",26,12567,17.23
"212","through the",26,12593,17.27
"213","time i",26,12619,17.3
"214","to my",26,12645,17.34
"215","by a",25,12670,17.37
"216","just a",25,12695,17.41
"217","not to",25,12720,17.44
"218","the day",25,12745,17.48
"219","the past",25,12770,17.51
"220","the right",25,12795,17.55
"221","they have",25,12820,17.58
"222","we re",25,12845,17.61
"223","and he",24,12869,17.65
"224","and you",24,12893,17.68
"225","at a",24,12917,17.71
"226","do not",24,12941,17.75
"227","end of",24,12965,17.78
"228","for you",24,12989,17.81
"229","i used",24,13013,17.84
"230","it the",24,13037,17.88
"231","it would",24,13061,17.91
"232","s not",24,13085,17.94
"233","time to",24,13109,17.98
"234","try to",24,13133,18.01
"235","up and",24,13157,18.04
"236","up the",24,13181,18.08
"237","and as",23,13204,18.11
"238","and so",23,13227,18.14
"239","are a",23,13250,18.17
"240","back to",23,13273,18.2
"241","because it",23,13296,18.23
"242","decided to",23,13319,18.26
"243","did not",23,13342,18.3
"244","haven t",23,13365,18.33
"245","i do",23,13388,18.36
"246","i made",23,13411,18.39
"247","i the",23,13434,18.42
"248","in our",23,13457,18.45
"249","me i",23,13480,18.49
"250","not a",23,13503,18.52
"251","of you",23,13526,18.55
"252","s and",23,13549,18.58
"253","say that",23,13572,18.61
"254","should be",23,13595,18.64
"255","some of",23,13618,18.67
"256","the the",23,13641,18.71
"257","they re",23,13664,18.74
"258","this year",23,13687,18.77
"259","to keep",23,13710,18.8
"260","to work",23,13733,18.83
"261","when we",23,13756,18.86
"262","when you",23,13779,18.9
"263","because of",22,13801,18.93
"264","but we",22,13823,18.96
"265","from a",22,13845,18.99
"266","i feel",22,13867,19.02
"267","is in",22,13889,19.05
"268","it a",22,13911,19.08
"269","the next",22,13933,19.11
"270","the only",22,13955,19.14
"271","there was",22,13977,19.17
"272","to and",22,13999,19.2
"273","to find",22,14021,19.23
"274","way to",22,14043,19.26
"275","about it",21,14064,19.29
