"","Gram","Count"
"1","a",6539862
"2","aa",4606
"3","aam",658
"4","aback",658
"5","abandon",2632
"6","abandoned",4606
"7","abandonment",1974
"8","abbas",658
"9","abbey",1974
"10","abbreviation",658
"11","abduction",658
"12","aberration",658
"13","abhorrent",658
"14","abiding",658
"15","abigail",1316
"16","ability",25662
"17","abject",1316
"18","abjection",4606
"19","able",93436
"20","abnormal",1316
"21","aboard",658
"22","abode",1316
"23","abolition",658
"24","abolitionism",658
"25","abomination",658
"26","aboriginal",1316
"27","abortive",658
"28","abound",1974
"29","about",825132
"30","above",55930
"31","abrasive",1316
"32","abroad",2632
"33","abrogation",2632
"34","abrupt",658
"35","abruptly",658
"36","absence",5922
"37","absent",4606
"38","absentmindedly",658
"39","absinthe",1316
"40","absolute",8554
"41","absolutely",30268
"42","absorb",1974
"43","absorbed",5264
"44","absorbing",658
"45","absorption",2632
"46","abstinence",658
"47","abstract",3290
"48","absurd",1316
"49","absurdity",658
"50","abundance",5264
"51","abundant",3948
"52","abundantly",1316
"53","abutting",658
"54","abysmal",658
"55","abyss",1974
"56","academic",1974
"57","academy",3290
"58","accelerate",1974
"59","accelerated",658
"60","accelerator",1316
"61","accent",1974
"62","accept",17766
"63","acceptable",2632
"64","acceptance",3290
"65","accepted",11186
"66","access",22372
"67","accessible",2632
"68","accessory",1974
"69","accident",7238
"70","accidentally",1316
"71","accidently",658
"72","acclaim",1316
"73","accommodate",658
"74","accommodating",658
"75","accommodation",1316
"76","accompaniment",658
"77","accompany",3290
"78","accomplice",658
"79","accomplish",3948
"80","accomplished",6580
"81","accomplishment",1316
"82","accord",658
"83","accordance",658
"84","according",38164
"85","accordingly",2632
"86","accosted",658
"87","account",12502
"88","accountability",658
"89","accountable",2632
"90","accountant",1974
"91","accounting",1316
"92","accredited",658
"93","acculturation",658
"94","accumulate",658
"95","accumulation",658
"96","accuracy",1974
"97","accurate",6580
"98","accurately",658
"99","accusation",658
"100","accuse",2632
"101","accused",7896
"102","accustomed",3290
"103","ace",658
"104","acetate",658
"105","ach",658
"106","ache",1974
"107","achieve",11844
"108","achievement",2632
"109","aching",1316
"110","achingly",658
"111","acid",5264
"112","acidity",658
"113","acknowledge",9212
"114","acknowledged",3948
"115","acoustic",2632
"116","acquaintance",2632
"117","acquainted",1316
"118","acquiesce",658
"119","acquire",1316
"120","acquired",2632
"121","acquisition",658
"122","acreage",658
"123","acrimony",658
"124","acronym",1316
"125","across",61194
"126","acryl",658
"127","acrylic",3290
"128","act",37506
"129","acta",658
"130","acting",11186
"131","action",36848
"132","actionable",1316
"133","activation",658
"134","active",10528
"135","actively",7238
"136","activism",3290
"137","activist",1974
"138","activity",17108
"139","actor",6580
"140","actress",1974
"141","actual",19740
"142","actuality",1316
"143","actually",126336
"144","acumen",658
"145","acupuncture",1316
"146","acute",1316
"147","acutely",658
"148","ad",11844
"149","adage",658
"150","adamant",1316
"151","adapt",3948
"152","adaptable",1316
"153","adaptation",1974
"154","adaptive",658
"155","add",86856
"156","added",51982
"157","addendum",1316
"158","addicted",4606
"159","addiction",3948
"160","addition",34874
"161","additional",15134
"162","additionally",3290
"163","address",14476
"164","ade",658
"165","adept",1974
"166","adeptness",658
"167","adequate",1316
"168","adhere",1974
"169","adhesive",658
"170","adieu",658
"171","adit",1316
"172","adjacent",1316
"173","adjective",658
"174","adjoining",1316
"175","adjudication",658
"176","adjunct",658
"177","adjust",2632
"178","adjustable",1316
"179","adjustment",4606
"180","administer",1316
"181","administration",13818
"182","administrative",1316
"183","administrator",2632
"184","admirable",658
"185","admiral",658
"186","admiralty",658
"187","admiration",658
"188","admire",3290
"189","admired",2632
"190","admiring",1974
"191","admission",1974
"192","admit",28294
"193","admitted",5264
"194","admittedly",4606
"195","admonish",1316
"196","ado",1974
"197","adobe",658
"198","adolescent",658
"199","adopt",4606
"200","adoptable",658
"201","adopted",5922
"202","adoption",3948
"203","adoptive",2632
"204","adorable",10528
"205","adoration",2632
"206","adore",4606
"207","adorn",658
"208","adrenaline",3290
"209","adrift",658
"210","adulterous",658
"211","adulthood",1974
"212","advance",7238
"213","advanced",8554
"214","advancement",658
"215","advancing",658
"216","advantage",8554
"217","advantageous",1316
"218","adventitious",658
"219","adventure",16450
"220","adventurer",658
"221","adventuresome",658
"222","adventurous",658
"223","adversary",658
"224","adverse",4606
"225","advert",658
"226","advertise",658
"227","advertisement",1974
"228","advertising",11844
"229","advice",14476
"230","advise",1974
"231","advised",3290
"232","adviser",1974
"233","advisor",1316
"234","advisory",658
"235","advocacy",658
"236","advocate",4606
"237","aegis",658
"238","aerial",1316
"239","aerobic",2632
"240","aerodynamic",1316
"241","aerosol",658
"242","aesthetic",3290
"243","aesthetics",1316
"244","affair",9212
"245","affect",7896
"246","affected",5264
"247","affecting",3290
"248","affection",1974
"249","affectionate",658
"250","affiliate",658
"251","affinity",1316
"252","affirm",1974
"253","affluent",1316
"254","afford",11186
"255","affordable",2632
"256","afforestation",658
"257","affront",1316
"258","aflame",658
"259","afloat",1316
"260","afoot",658
"261","afoul",658
"262","afraid",17108
"263","after",341502
"264","afterlife",658
"265","aftermath",658
"266","afternoon",22372
"267","afternoons",3948
"268","afterschool",1974
"269","aftertaste",658
"270","afterthought",658
"271","afterward",1316
"272","afterwards",7896
"273","afterwork",658
"274","aga",1316
"275","again",186214
"276","against",94752
"277","age",38822
"278","aged",10528
"279","agency",9212
"280","agenda",9212
"281","agent",15134
"282","aggression",1974
"283","aggressive",6580
"284","aggressiveness",658
"285","aggressor",658
"286","aggrieved",658
"287","agile",658
"288","agility",1316
"289","aging",2632
"290","ago",88830
"291","agonize",658
"292","agonizingly",1316
"293","agony",1974
"294","agora",1316
"295","agree",14476
"296","agreeably",658
"297","agreed",13160
"298","agreeing",658
"299","agreement",5264
"300","agricultural",1316
"301","agriculture",1974
"302","aground",658
"303","agy",658
"304","ah",9870
"305","aha",1974
"306","ahead",19740
"307","ahem",1974
"308","ahluwalia",658
"309","aid",9870
"310","aide",658
"311","ailment",658
"312","aim",5264
"313","aiming",1974
"314","aimless",658
"315","aimlessly",658
"316","aint",658
"317","air",46060
"318","aircraft",3290
"319","airing",2632
"320","airplane",1974
"321","airport",10528
"322","airtight",658
"323","airy",1316
"324","aisle",3948
"325","ak",1316
"326","aka",7238
"327","akin",1974
"328","ako",658
"329","al",16450
"330","ala",658
"331","alameda",658
"332","alan",7238
"333","alarm",8554
"334","alarmed",658
"335","alarming",658
"336","alarmist",658
"337","alas",3948
"338","albeit",4606
"339","album",26978
"340","alchemy",1316
"341","alcohol",17766
"342","alcoholic",3290
"343","alcoholism",658
"344","alder",658
"345","ale",10528
"346","alec",1316
"347","alert",3290
"348","alfalfa",1974
"349","algae",2632
"350","algorithm",658
"351","alien",2632
"352","alienation",658
"353","align",1316
"354","alignment",658
"355","alike",3948
"356","alison",658
"357","alive",20398
"358","alkalinity",658
"359","all",1037008
"360","allegation",658
"361","allegedly",1974
"362","allegiance",1974
"363","allegorical",1316
"364","allergic",1974
"365","allergy",1316
"366","alleviate",1974
"367","alley",3290
"368","alliance",3290
"369","allied",658
"370","allies",1316
"371","alliteration",658
"372","allocation",1316
"373","allotment",1316
"374","allow",32900
"375","allowance",1316
"376","allude",658
"377","allure",1974
"378","ally",1974
"379","almanac",658
"380","almighty",3290
"381","almond",1316
"382","almost",103964
"383","alone",38164
"384","along",92778
"385","alongside",7238
"386","aloud",3290
"387","alpha",2632
"388","alphabet",1316
"389","alpine",658
"390","already",94752
"391","alright",5264
"392","also",389536
"393","alt",3948
"394","altar",1974
"395","alter",5922
"396","altercation",658
"397","alternate",3948
"398","alternately",658
"399","alternative",9212
"400","alternatively",1316
"401","alternator",658
"402","although",77644
"403","altitude",1316
"404","alto",1974
"405","altogether",3290
"406","altruist",658
"407","aluminium",1316
"408","aluminum",1316
"409","alumni",658
"410","always",203980
"411","am",359926
"412","amarillo",658
"413","amateurish",658
"414","amazed",5922
"415","amazing",55272
"416","amazingly",4606
"417","ambassador",3290
"418","amber",1316
"419","ambience",658
"420","ambient",1974
"421","ambiguity",1974
"422","ambiguous",658
"423","ambiguously",658
"424","ambition",1316
"425","ambitious",2632
"426","amble",658
"427","ambulance",1316
"428","ambush",658
"429","ame",658
"430","amen",5922
"431","amend",658
"432","amendment",658
"433","amends",658
"434","americium",658
"435","amethyst",658
"436","amid",658
"437","amidst",1974
"438","amiss",658
"439","amity",658
"440","amman",658
"441","ammonia",1974
"442","ammunition",658
"443","amok",658
"444","among",46718
"445","amongst",5922
"446","amoral",1316
"447","amorphous",658
"448","amount",35532
"449","amphitheater",658
"450","ample",1974
"451","amply",658
"452","amuse",1316
"453","amused",658
"454","amusing",3290
"455","amy",4606
"456","an",759332
"457","anachronism",658
"458","anaconda",658
"459","anaemic",658
"460","analogous",1316
"461","analogy",3290
"462","analyse",658
"463","analysis",7896
"464","analyst",658
"465","analytic",1316
"466","analytical",1974
"467","analyze",1316
"468","anamnesis",1974
"469","anaphoric",1316
"470","anarchist",2632
"471","anarchistic",658
"472","anarchy",658
"473","anatomy",658
"474","ancestral",658
"475","anchor",3290
"476","anchored",1974
"477","anchovy",658
"478","ancient",20398
"479","ancillary",1316
"480","and",7903896
"481","android",1974
"482","anecdotal",658
"483","anemia",658
"484","aneurysm",658
"485","angel",13818
"486","angelic",658
"487","angelica",658
"488","anger",17108
"489","angle",5922
"490","angled",658
"491","angrily",1316
"492","angst",1974
"493","anguish",658
"494","animal",19740
"495","animalic",658
"496","animalistic",658
"497","animate",658
"498","animated",5922
"499","animation",3948
"500","anime",658
"501","ankle",1974
"502","ann",11186
"503","anna",7896
"504","anniversary",8554
"505","annotate",658
"506","announce",4606
"507","announcement",2632
"508","annoy",2632
"509","annoyance",1974
"510","annoying",7238
"511","annoyingly",658
"512","annual",12502
"513","annually",1974
"514","annunciation",658
"515","anomalous",658
"516","anonymous",5922
"517","anonymously",1316
"518","another",206612
"519","ansar",1974
"520","answer",37506
"521","answerable",658
"522","antagonist",1316
"523","antecedent",658
"524","antelope",658
"525","antennae",658
"526","anthem",1974
"527","anthology",658
"528","anthrax",658
"529","anthropologist",658
"530","anti",23688
"531","antibacterial",658
"532","antibiotic",1316
"533","antichrist",658
"534","anticipate",658
"535","anticipation",4606
"536","antidote",658
"537","antioxidant",1316
"538","antique",5922
"539","antivirus",1316
"540","antonym",658
"541","anxiety",5264
"542","anxious",3290
"543","anxiously",658
"544","any",271754
"545","anybody",8554
"546","anyhow",1974
"547","anyone",74354
"548","anything",130942
"549","anyway",56588
"550","anyways",7238
"551","anywhere",15792
"552","apa",658
"553","apart",26320
"554","apartheid",1974
"555","apartment",17108
"556","apathetic",658
"557","apathy",658
"558","ape",1316
"559","apex",1316
"560","aplenty",658
"561","apocalypse",658
"562","apocalyptic",1316
"563","apogee",658
"564","apologetically",658
"565","apologist",658
"566","apologize",2632
"567","apology",2632
"568","apostle",658
"569","apostolic",658
"570","apostrophe",1316
"571","appalling",1974
"572","apparatus",1316
"573","apparel",658
"574","apparent",1316
"575","apparently",28952
"576","appeal",8554
"577","appealing",5264
"578","appear",16450
"579","appearance",15792
"580","appease",1316
"581","appellation",658
"582","appetite",2632
"583","applaud",1316
"584","applause",1974
"585","apple",14476
"586","applicable",1316
"587","applicant",1316
"588","application",12502
"589","applied",5264
"590","applier",658
"591","apply",16450
"592","appoint",658
"593","appointment",7896
"594","appreciate",15134
"595","appreciation",4606
"596","appreciative",1974
"597","apprehension",658
"598","apprehensive",658
"599","approach",21056
"600","approaching",8554
"601","appropriate",15134
"602","appropriately",1316
"603","appropriateness",658
"604","approval",4606
"605","approve",1974
"606","approximate",1316
"607","approximately",13160
"608","approximation",658
"609","apraxia",658
"610","apricot",658
"611","apron",1316
"612","apropos",658
"613","apt",1974
"614","aqua",3290
"615","aquaculture",1316
"616","aquarium",658
"617","arbitrarily",658
"618","arbitrary",1316
"619","arboretum",658
"620","arc",1316
"621","arcade",1974
"622","arch",2632
"623","archaeological",658
"624","archaeology",658
"625","archangel",658
"626","archbishop",2632
"627","arched",658
"628","archer",2632
"629","archery",658
"630","arches",2632
"631","architect",1316
"632","architectural",1316
"633","architecture",5922
"634","archival",2632
"635","archive",658
"636","archivist",658
"637","archon",1316
"638","arctic",1974
"639","arduous",658
"640","are",1337714
"641","area",44744
"642","arena",3948
"643","arent",658
"644","arguable",1974
"645","argue",8554
"646","argument",11844
"647","arid",658
"648","ariel",1316
"649","arise",5264
"650","aristocrat",658
"651","ark",1974
"652","arm",17766
"653","armadillo",658
"654","armagnac",1316
"655","armchair",1974
"656","armed",7238
"657","armful",658
"658","armless",658
"659","armor",4606
"660","arms",17108
"661","army",18424
"662","aroma",4606
"663","aromatic",658
"664","arose",658
"665","around",252672
"666","arrange",3290
"667","arrangement",2632
"668","array",5922
"669","arrest",1974
"670","arresting",1316
"671","arrestingly",658
"672","arrival",5922
"673","arrive",11844
"674","arrogant",1974
"675","arrow",1316
"676","arroyo",658
"677","arsenal",1316
"678","arses",658
"679","art",56588
"680","artefact",658
"681","artful",1316
"682","artha",658
"683","arthritis",1316
"684","article",48692
"685","articulate",658
"686","artifact",658
"687","artifice",658
"688","artificial",1316
"689","artificially",658
"690","artisan",658
"691","artist",23030
"692","artistic",5922
"693","artistically",658
"694","arty",658
"695","as",1570646
"696","asbestos",658
"697","ascend",658
"698","ascendant",658
"699","ascension",658
"700","ascertain",1316
"701","ascot",658
"702","ase",658
"703","ash",2632
"704","ashamed",3290
"705","ashes",658
"706","ashman",658
"707","ashore",1316
"708","aside",17108
"709","ask",74354
"710","asleep",9212
"711","asparagus",658
"712","aspect",9870
"713","aspire",1316
"714","aspirin",658
"715","aspiring",1316
"716","assemble",1316
"717","assembly",3290
"718","assemblyman",1316
"719","assent",658
"720","assert",658
"721","assertion",3948
"722","assertive",1316
"723","assess",3948
"724","assessment",3290
"725","assessor",658
"726","asset",5264
"727","assets",1316
"728","assign",1974
"729","assigned",3290
"730","assignment",3948
"731","assimilate",658
"732","assimilation",1316
"733","assimilationist",658
"734","assist",5922
"735","assistance",3290
"736","assistant",7238
"737","associate",1316
"738","associated",11186
"739","association",11844
"740","assorted",1974
"741","assortment",1316
"742","assume",9212
"743","assumed",3948
"744","assuming",5264
"745","assumption",2632
"746","assurance",658
"747","assure",2632
"748","assured",3948
"749","assuredly",658
"750","asthma",2632
"751","astonishing",1974
"752","astonishment",658
"753","astounding",1974
"754","astoundingly",658
"755","astray",1974
"756","astride",658
"757","astringent",658
"758","astrology",1316
"759","astronaut",1316
"760","astronomical",1974
"761","astute",658
"762","asunder",1316
"763","aswell",658
"764","asylum",4606
"765","asymmetry",658
"766","at",1242962
"767","ate",15792
"768","atheist",1974
"769","athlete",658
"770","athletic",1974
"771","athletics",1316
"772","atlantic",5264
"773","atmosphere",3948
"774","atmospheric",1316
"775","atom",658
"776","atomic",1316
"777","atop",1974
"778","atrocious",1316
"779","atrocity",658
"780","attach",1974
"781","attached",5922
"782","attachment",3290
"783","attain",658
"784","attempt",19082
"785","attend",15792
"786","attendance",3948
"787","attendant",1316
"788","attention",34216
"789","attentive",1316
"790","attest",658
"791","attic",1974
"792","attire",1316
"793","attitude",15134
"794","attorney",7238
"795","attract",3948
"796","attraction",1974
"797","attractive",5922
"798","attributable",658
"799","atypical",658
"800","auction",2632
"801","audience",15792
"802","audio",5264
"803","audit",1316
"804","audition",1974
"805","auditorium",658
"806","augh",658
"807","august",9212
"808","aunt",1316
"809","auntie",658
"810","aura",1316
"811","aurora",658
"812","aurore",658
"813","authentic",6580
"814","authenticate",658
"815","authenticity",3948
"816","author",30926
"817","authoritarian",1316
"818","authoritarianism",1316
"819","authoritative",1316
"820","authority",11844
"821","authorization",658
"822","authorize",658
"823","autism",2632
"824","autistic",1974
"825","auto",3290
"826","autobahn",658
"827","autobiography",1974
"828","autocratic",658
"829","autodidact",658
"830","autograph",658
"831","automatic",2632
"832","automatically",5922
"833","automobile",2632
"834","automotive",658
"835","autonomy",658
"836","autumn",4606
"837","auxiliary",658
"838","ava",1316
"839","avail",1316
"840","available",46718
"841","ave",4606
"842","avenger",658
"843","avenue",6580
"844","average",14476
"845","aviary",1316
"846","aviator",658
"847","avid",658
"848","avocado",5264
"849","avoid",16450
"850","avoidable",658
"851","avow",658
"852","aw",658
"853","await",1974
"854","awake",5922
"855","awakening",1974
"856","award",13818
"857","aware",19740
"858","awareness",5264
"859","awash",1316
"860","away",179634
"861","awe",4606
"862","awesome",24346
"863","awesomely",658
"864","awful",3948
"865","awfully",658
"866","awhile",7238
"867","awkward",3948
"868","awkwardness",1316
"869","awning",658
"870","awoke",2632
"871","awry",658
"872","ax",1316
"873","axe",658
"874","axiom",658
"875","axis",1316
"876","aye",1316
"877","azure",658
"878","b",51982
"879","ba",3290
"880","babbling",1316
"881","baby",76986
"882","babyhood",658
"883","bacchanalian",658
"884","bachelor",3290
"885","back",352030
"886","backache",658
"887","backdrop",3948
"888","backed",5264
"889","background",18424
"890","backing",3290
"891","backlash",2632
"892","backside",1316
"893","backstage",1316
"894","backward",1316
"895","backwardness",658
"896","backwards",3948
"897","backwater",658
"898","bacon",8554
"899","bacteria",3948
"900","bacterial",658
"901","bad",92778
"902","bade",658
"903","badge",1974
"904","badger",658
"905","badly",7238
"906","bafta",658
"907","bag",29610
"908","bagel",1974
"909","baggage",658
"910","bagger",658
"911","baggie",1316
"912","bagging",658
"913","baguette",1316
"914","bah",658
"915","bail",3948
"916","bailey",658
"917","bait",658
"918","bake",17766
"919","baked",5922
"920","baker",6580
"921","bakery",4606
"922","baking",19740
"923","balance",21714
"924","balanced",3948
"925","balancing",1316
"926","balcony",1316
"927","bald",658
"928","baldness",658
"929","bali",2632
"930","balk",3290
"931","ball",18424
"932","ballad",658
"933","baller",658
"934","ballistics",658
"935","balloon",3290
"936","ballot",3948
"937","ballroom",1316
"938","balm",1316
"939","balmy",658
"940","balsam",658
"941","balsamic",658
"942","bam",1974
"943","bamboo",1974
"944","ban",3948
"945","banal",658
"946","banana",8554
"947","band",41454
"948","bande",658
"949","banded",658
"950","bandstand",658
"951","bane",658
"952","bang",1316
"953","banger",658
"954","bangkok",658
"955","bani",658
"956","bank",15792
"957","banker",1316
"958","banking",4606
"959","bankrupt",1316
"960","bankruptcy",1974
"961","banner",4606
"962","banning",1316
"963","banquet",658
"964","bantam",658
"965","banter",658
"966","baptism",658
"967","bar",23688
"968","bara",658
"969","barb",658
"970","barbarian",1316
"971","barbaric",658
"972","barbecue",1316
"973","barbed",658
"974","barber",658
"975","barcelona",1974
"976","bard",658
"977","bare",6580
"978","barefoot",2632
"979","barefooted",1316
"980","barely",13160
"981","bareness",658
"982","bargain",2632
"983","barge",658
"984","bark",658
"985","barking",3290
"986","barley",658
"987","barn",5264
"988","barney",1316
"989","baron",1316
"990","baroque",1316
"991","barra",658
"992","barrage",1974
"993","barred",2632
"994","barrel",2632
"995","barren",1316
"996","barricade",658
"997","barrier",3948
"998","barring",1316
"999","barrister",1974
"1000","barrow",658
"1001","barry",4606
"1002","bartender",1316
"1003","barth",1316
"1004","barton",1316
"1005","base",19082
"1006","baseball",4606
"1007","based",70406
"1008","basement",7896
"1009","bases",658
"1010","bash",2632
"1011","bashful",658
"1012","basic",15792
"1013","basically",19740
"1014","basil",1316
"1015","basin",5264
"1016","basis",16450
"1017","bask",658
"1018","basket",4606
"1019","basketball",4606
"1020","bass",4606
"1021","bassinet",658
"1022","bassist",1316
"1023","bastard",1316
"1024","bastide",658
"1025","bastion",1316
"1026","bat",1316
"1027","batch",7896
"1028","bateau",658
"1029","bath",8554
"1030","bathe",658
"1031","bathing",1316
"1032","bathroom",9212
"1033","bathtub",658
"1034","batman",1316
"1035","baton",658
