"","value","count","cumsum","pct"
"1","the",1860681,1860681,5.66
"2","and",1094859,2955540,8.99
"3","to",1069562,4025102,12.24
"4","i",906809,4931911,15
"5","a",904058,5835969,17.75
"6","of",876847,6712816,20.41
"7","in",598758,7311574,22.23
"8","it",485366,7796940,23.71
"9","that",484196,8281136,25.18
"10","is",432763,8713899,26.5
"11","for",363934,9077833,27.6
"12","you",327901,9405734,28.6
"13","s",325268,9731002,29.59
"14","with",286769,10017771,30.46
"15","was",278361,10296132,31.31
"16","on",276585,10572717,32.15
"17","my",270947,10843664,32.97
"18","this",259189,11102853,33.76
"19","as",224012,11326865,34.44
"20","have",218953,11545818,35.11
"21","be",209100,11754918,35.74
"22","we",207431,11962349,36.38
"23","but",206532,12168881,37
"24","are",193989,12362870,37.59
"25","t",192620,12555490,38.18
"26","not",175063,12730553,38.71
"27","at",172272,12902825,39.23
"28","so",167083,13069908,39.74
"29","he",159623,13229531,40.23
"30","they",152448,13381979,40.69
"31","from",148410,13530389,41.14
"32","all",147146,13677535,41.59
"33","or",144360,13821895,42.03
"34","me",140287,13962182,42.46
"35","one",129063,14091245,42.85
"36","by",123405,14214650,43.22
"37","can",119102,14333752,43.59
"38","what",115555,14449307,43.94
"39","about",115376,14564683,44.29
"40","will",112871,14677554,44.63
"41","up",110966,14788520,44.97
"42","out",110871,14899391,45.31
"43","an",110064,15009455,45.64
"44","his",110036,15119491,45.98
"45","if",108978,15228469,46.31
"46","there",108194,15336663,46.64
"47","had",107030,15443693,46.96
"48","her",106331,15550024,47.28
"49","when",104285,15654309,47.6
"50","just",100814,15755123,47.91
"51","like",100464,15855587,48.21
"52","she",100430,15956017,48.52
"53","your",99742,16055759,48.82
"54","more",92893,16148652,49.1
"55","do",92568,16241220,49.39
"56","time",91031,16332251,49.66
"57","their",89797,16422048,49.94
"58","some",88932,16510980,50.21
"59","who",87707,16598687,50.47
"60","our",85117,16683804,50.73
"61","would",82402,16766206,50.98
"62","them",80558,16846764,51.23
"63","been",77974,16924738,51.46
"64","were",77635,17002373,51.7
"65","m",72902,17075275,51.92
"66","which",72119,17147394,52.14
"67","get",71137,17218531,52.36
"68","no",69416,17287947,52.57
"69","how",66770,17354717,52.77
"70","into",62863,17417580,52.96
"71","then",61930,17479510,53.15
"72","people",61161,17540671,53.34
"73","know",60604,17601275,53.52
"74","now",60459,17661734,53.71
"75","because",58021,17719755,53.88
"76","don",56767,17776522,54.05
"77","other",56389,17832911,54.23
"78","also",55374,17888285,54.39
"79","new",54857,17943142,54.56
"80","day",52755,17995897,54.72
"81","only",52694,18048591,54.88
"82","over",52388,18100979,55.04
"83","even",52186,18153165,55.2
"84","first",51639,18204804,55.36
"85","back",51319,18256123,55.51
"86","make",51222,18307345,55.67
"87","well",50856,18358201,55.82
"88","am",50837,18409038,55.98
"89","than",50573,18459611,56.13
"90","us",50471,18510082,56.29
"91","see",50268,18560350,56.44
"92","really",49979,18610329,56.59
"93","him",49822,18660151,56.74
"94","good",49309,18709460,56.89
"95","much",49214,18758674,57.04
"96","here",49207,18807881,57.19
"97","very",48300,18856181,57.34
"98","these",48031,18904212,57.48
"99","think",47782,18951994,57.63
"100","way",47529,18999523,57.77
"101","after",46805,19046328,57.92
"102","little",45799,19092127,58.06
"103","love",45338,19137465,58.19
"104","could",45285,19182750,58.33
"105","go",43506,19226256,58.46
"106","two",42319,19268575,58.59
"107","life",41803,19310378,58.72
"108","many",40024,19350402,58.84
"109","most",39899,19390301,58.96
"110","any",39783,19430084,59.08
"111","going",39770,19469854,59.2
"112","did",39158,19509012,59.32
"113","where",39093,19548105,59.44
"114","being",39076,19587181,59.56
"115","still",38054,19625235,59.68
"116","too",37725,19662960,59.79
"117","those",37697,19700657,59.91
"118","want",37629,19738286,60.02
"119","work",37548,19775834,60.13
"120","made",37343,19813177,60.25
"121","year",37093,19850270,60.36
"122","before",37013,19887283,60.47
"123","said",36712,19923995,60.58
"124","last",36097,19960092,60.69
"125","re",36094,19996186,60.8
"126","through",35421,20031607,60.91
"127","down",35367,20066974,61.02
"128","off",35249,20102223,61.13
"129","while",35022,20137245,61.23
"130","right",34728,20171973,61.34
"131","something",34716,20206689,61.44
"132","its",33700,20240389,61.55
"133","take",33464,20273853,61.65
"134","around",32749,20306602,61.75
"135","may",32449,20339051,61.85
"136","d",32343,20371394,61.95
"137","few",31774,20403168,62.04
"138","got",31617,20434785,62.14
"139","never",31383,20466168,62.23
"140","great",31360,20497528,62.33
"141","say",31204,20528732,62.42
"142","world",30701,20559433,62.52
"143","need",29728,20589161,62.61
"144","book",28409,20617570,62.69
"145","should",28280,20645850,62.78
"146","every",28037,20673887,62.87
"147","home",27999,20701886,62.95
"148","another",27995,20729881,63.04
"149","own",27969,20757850,63.12
"150","week",27534,20785384,63.2
"151","long",27128,20812512,63.29
"152","always",26699,20839211,63.37
"153","again",26496,20865707,63.45
"154","look",26214,20891921,63.53
"155","why",26069,20917990,63.61
"156","find",26064,20944054,63.69
"157","come",25751,20969805,63.77
