"","Gram","Count"
"1","the",1860681
"2","and",1094859
"3","to",1069562
"4","i",906812
"5","a",904058
"6","of",876847
"7","in",598758
"8","it",485367
"9","that",484198
"10","is",432763
"11","for",363934
"12","you",327902
"13","s",325285
"14","with",286770
"15","was",278361
"16","on",276585
"17","my",270947
"18","this",259189
"19","as",224012
"20","have",218953
"21","be",209100
"22","we",207431
"23","but",206532
"24","are",193989
"25","t",192625
"26","not",175063
"27","at",172272
"28","so",167083
"29","he",159623
"30","they",152450
"31","from",148410
"32","all",147146
"33","or",144360
"34","me",140287
"35","one",129063
"36","by",123405
"37","can",119102
"38","what",115555
"39","about",115376
"40","will",112871
"41","up",110966
"42","out",110871
"43","an",110064
"44","his",110036
"45","if",108978
"46","there",108194
"47","had",107030
"48","her",106331
"49","when",104285
"50","just",100814
"51","like",100464
"52","she",100430
"53","your",99742
"54","more",92893
"55","do",92568
"56","time",91031
"57","their",89797
"58","some",88932
"59","who",87708
"60","our",85117
"61","would",82402
"62","them",80558
"63","been",77974
"64","were",77635
"65","m",72903
"66","which",72119
"67","get",71137
"68","no",69417
"69","how",66770
"70","into",62863
"71","then",61930
"72","people",61161
"73","know",60604
"74","now",60459
"75","because",58021
"76","don",56767
"77","other",56389
"78","also",55374
"79","new",54857
"80","day",52755
"81","only",52694
"82","over",52388
"83","even",52186
"84","first",51639
"85","back",51319
"86","make",51222
"87","well",50856
"88","am",50837
"89","than",50573
"90","us",50471
"91","see",50268
"92","really",49979
"93","him",49822
"94","good",49309
"95","much",49214
"96","here",49207
"97","very",48300
"98","these",48031
"99","think",47782
"100","way",47529
"101","after",46805
"102","little",45799
"103","love",45338
"104","could",45285
"105","go",43506
"106","two",42319
"107","life",41803
"108","many",40024
"109","most",39899
"110","any",39783
"111","going",39770
"112","did",39158
"113","where",39093
"114","being",39076
"115","still",38054
"116","too",37725
"117","those",37697
"118","want",37629
"119","work",37548
"120","made",37343
"121","year",37093
"122","before",37013
"123","said",36712
"124","last",36097
"125","re",36097
"126","through",35421
"127","down",35367
"128","off",35249
"129","while",35022
"130","right",34728
"131","something",34716
"132","its",33700
"133","take",33464
"134","around",32749
"135","may",32449
"136","d",32343
"137","few",31774
"138","got",31617
"139","never",31383
"140","great",31360
"141","say",31204
"142","world",30702
"143","need",29728
"144","book",28409
"145","should",28280
"146","every",28037
"147","home",27999
"148","another",27995
"149","own",27969
"150","week",27535
"151","long",27128
"152","always",26699
"153","again",26496
"154","look",26214
"155","why",26069
"156","find",26064
"157","come",25751
"158","each",25663
"159","today",25289
"160","next",25016
"161","such",24704
"162","use",24650
"163","let",24458
"164","feel",24455
"165","since",24288
"166","thing",24050
"167","same",24029
"168","old",23848
"169","used",23280
"170","place",23068
"171","best",22862
"172","sure",22497
"173","until",21900
"174","lot",21604
"175","though",21507
"176","part",21454
"177","thought",21430
"178","read",21400
"179","put",21252
"180","both",21004
"181","away",20869
"182","better",20772
"183","family",20520
"184","does",20441
"185","end",20244
"186","days",20183
"187","man",19995
"188","ever",19982
"189","bit",19749
"190","went",19744
"191","night",19528
"192","might",19402
"193","found",19377
