"","Gram","Count"
"1","a change in",1
"2","a fun set",1
"3","a very good",1
"4","after in his",1
"5","all of his",1
"6","all these amazing",1
"7","all you need",1
"8","almost as much",1
"9","also does a",1
"10","am going to",1
"11","amazing away ready",1
"12","and but any",1
"13","and cut them",1
"14","and holding down",1
"15","and the money",1
"16","and used his",1
"17","and were after",1
"18","and you fantastic",1
"19","any occasion that",1
"20","around the corner",1
"21","as him so",1
"22","as much as",1
"23","away ready to",1
"24","awesome with the",1
"25","bad and used",1
"26","bad we made",1
"27","bank he that",1
"28","been awesome with",1
"29","been busy together",1
"30","been in my",1
"31","been saving and",1
"32","birthday he been",1
"33","busy together on",1
"34","but any occasion",1
"35","can see how",1
"36","card from his",1
"37","change in one",1
"38","circle i the",1
"39","come to life",1
"40","count all of",1
"41","cut machine the",1
"42","cut them out",1
"43","cute to watch",1
"44","did he also",1
"45","do super easy",1
"46","does a very",1
"47","either that is",1
"48","enough it was",1
"49","fantastic you can",1
"50","feel like she",1
"51","from his birthday",1
"52","fun set to",1
"53","game so bad",1
"54","get it he",1
"55","get our home",1
"56","gift card from",1
"57","going to share",1
"58","good job of",1
"59","had enough it",1
"60","have all these",1
"61","have been busy",1
"62","have been in",1
"63","he also does",1
"64","he been saving",1
"65","he did he",1
"66","he had enough",1
"67","he he did",1
"68","he it so",1
"69","he that game",1
"70","help you out",1
"71","him count all",1
"72","his birthday he",1
"73","his from his",1
"74","his gift card",1
"75","his money to",1
"76","his reaction when",1
"77","holding down the",1
"78","home inspiration that",1
"79","how to use",1
"80","how we know",1
"81","i am going",1
"82","i have all",1
"83","i have been",1
"84","i the in",1
"85","i work later",1
"86","in his from",1
"87","in one s",1
"88","inspiration that i",1
"89","into that thing",1
"90","is all you",1
"91","is how we",1
"92","is too by",1
"93","it almost as",1
"94","it he never",1
"95","it so bad",1
"96","it was very",1
"97","job of feel",1
"98","just one pass",1
"99","kit is all",1
"100","know he it",1
"101","later than usual",1
"102","life i the",1
"103","life when we",1
"104","like she is",1
"105","love you brown",1
"106","made him count",1
"107","make sure that",1
"108","money to get",1
"109","money to make",1
"110","most of the",1
"111","much as him",1
"112","need to do",1
"113","new plate which",1
"114","not only your",1
"115","occasion that on",1
"116","of feel like",1
"117","of his money",1
"118","of the oil",1
"119","oil and were",1
"120","on a change",1
"121","on the i",1
"122","on the together",1
"123","one pass through",1
"124","one s life",1
"125","our home with",1
"126","out the she",1
"127","out with circle",1
"128","out with not",1
"129","pass through your",1
"130","plate which is",1
"131","reaction when he",1
"132","ready to come",1
"133","right around the",1
"134","s life i",1
"135","s new plate",1
"136","see how to",1
"137","she is too",1
"138","she it almost",1
"139","so bad and",1
"140","so bad we",1
"141","sure that he",1
"142","that he had",1
"143","that i have",1
"144","that is how",1
"145","that on a",1
"146","the and holding",1
"147","the have been",1
"148","the i have",1
"149","the in this",1
"150","the money to",1
"151","the oil and",1
"152","the she it",1
"153","them out with",1
"154","through your cut",1
"155","to come to",1
"156","to do super",1
"157","to get it",1
"158","to help you",1
"159","to life when",1
"160","to make sure",1
"161","to share some",1
"162","to use the",1
"163","to watch his",1
"164","up a fun",1
"165","use the in",1
"166","very good job",1
"167","was very cute",1
"168","we get our",1
"169","we know he",1
"170","we love you",1
"171","we made him",1
"172","when he he",1
"173","when we get",1
"174","which is double",1
"175","while i work",1
"176","with not only",1
"177","with the and",1
"178","you can see",1
"179","you need to",1
"180","you out with",1
