"word1","word2"
"aaron davis","title"
"aaron playing","favorite"
"aaron tv","version"
"abc ability","breaks"
"abc denial","tapes"
"abc get","real"
"abc giving","child"
"abc numbers","start"
"abc portland","spirit"
"abc red","carpet"
"abc watch","entire"
"abc world","news"
"ability ability","start"
"ability better","good"
"ability breaks","courage"
"ability catch","demand"
"ability listen","anything"
"ability means","eliminate"
"ability small","ones"
"ability start","scott"
"ability stick","thing"
"ability tell","man"
"ability triumph","begins"
"able cash","experience"
"able come","last"
"able come","today"
"able drag","drop"
"able entertain","thought"
"able find","right"
"able get","married"
"able john","wooden"
"able keep","relationship"
"able lift","arms"
"able man","able"
"able moment","sacrifice"
"able point","right"
"able read","unable"
"able say","happy"
"able say","want"
"able spend","life"
"able spread","message"
"able take","care"
"able tell","difference"
"able tell","story"
"able watch","game"
"abroad historical","novel"
"abroad study","abroad"
"absence clearly","defined"
"absence judgment","important"
"absence make","difference"
"absence mark","twain"
"absence value","presence"
"absence won","make"
"absolute best","thing"
"absolute favorite","people"
"absolutely beautiful","day"
"absolutely blown","away"
"absolutely chicago","tours"
"absolutely contact","info"
"absolutely devoted","service"
"absolutely good","ann"
"absolutely gorgeous","day"
"absolutely great","job"
"absolutely hate","people"
"absolutely inside","having"
"absolutely love","new"
"absolutely love","song"
"absolutely made","day"
"absolutely perfect","day"
"absolutely ridiculous","absolutely"
"absolutely yelling","stealing"
"absorb cholesterol","take"
"abstract art","emotions"
"abstract emotional","art"
"absurd hope","albert"
"absurd man","rule"
"abundance acquire","tune"
"abundance appears","anthony"
"abundance large","part"
"abundance life","wayne"
"academic support","link"
"academy award","winning"
"academy awards","oscar"
"academy country","music"
"accent sounds","like"
"accept challenges","feel"
"accept conditions","exist"
"accept disappointment","must"
"accept fact","gone"
"accept fails","accept"
"accept follow","request"
"accept major","credit"
"accept signal","plans"
"accept skype","request"
"accept spite","unacceptable"
"accept worst","don"
"acceptance kindness","weakness"
"accepting applications","season"
"accepting credit","cards"
"accepting nominees","native"
"access birth","control"
"access costs","step"
"access games","enjoy"
"access hockey","games"
"access social","media"
"access virtual","conference"
"accessible people","low"
"accident injuries","cottage"
"accident involving","school"
"accident last","week"
"accident last","night"
"accident meeting","prepared"
"accident service","road"
"accident stays","purpose"
"accident story","like"
"accident waiting","happen"
"accidentally fell","asleep"
"accidentally threw","away"
"accidents accidents","dark"
"accidents dark","cause"
"accompanied arnold","bennett"
"accomplish anything","worth"
"accomplish care","gets"
"accomplish far","shorter"
"accomplish opposition","encountered"
"accomplishment ralph","emerson"
"accomplishments make","somebody"
"according according","henry"
"according henry","ward"
"according league","source"
"according men","minutes"
"according social","media"
"according story","online"
"account allowed","perform"
"account days","ago"
"account finally","found"
"account get","hacked"
"account got","hacked"
"account hurry","follow"
